Name
Paper Moon
Market By Jean Georges - W Doha Hotel
Sabai Thai - The Westin Doha Hotel & Spa
Spice Market - W Doha Hotel
The Village Restaurant
La Spiga - W Doha Hotel
Three Sixty - The Torch Doha
Cucina - Marriott Marquis Doha
Burj Al Hamam - برج الحمام
Elements - Four Seasons Hotel
Megu
The Village
Nobu - Four Seasons Hotel
Hakkasan - The St. Regis
Isaan - Grand Hyatt Doha Hotel & Villas
Toro Toro
Mykonos - InterContinental Doha
IDAM By Alain Ducasse - ادام
"Rodizio - Crowne Plaza Doha, The Business Park"
Ipanema - Marriott Marquis Doha
"Aramede - Crowne Plaza Doha, The Business Park"
Al Hubara - Sheraton Grand Doha Resort and Convention Hotel
Teatro - City Centre Rotana Doha
Nozomi
Chingari - Radisson Blu Hotel
The Cellar
New York Steakhouse - Marriott Marquis Doha
Prime - InterContinental The City Hotel
Yum Yum - K 108 Hotel
Morimoto - Mondrian Doha
Flavours - Al Aziziyah Boutique Hotel Doha
La Mar by Gaston Acurio
Bombay Balti - Radisson Blu Hotel
Ruby Wu's - Radisson Blu Hotel
Flying Carpet - The Torch Doha
The Italian Job - Radisson Blu Hotel
Al Sufra -  Marsa Malaz Kempinski
Walima - Mondrian Doha
Sakura - Radisson Blu Hotel
Al  Liwan - Sharq Village & Spa
Di Capri - La Cigale Hotel
Carisma - Warwick Doha Hotel
Belgravia Restaurant
Bentley's Grill - Radisson Blu Hotel
Al Baraha Restaurant - Al Najada Hotel by Tivoli
Romeo & Juliet - روميو وجوليت
Bab Al Amoud
Red Orchid
Dining by Design
Dinner In The Sky
Primavera
ISLE Lounge
Em Sherif Restaurant - Sheraton - مطعم أم شريف
Aziza - Marriott Marquis Doha
Sarooja
Le Train Bleu
Le Central - La Cigale Hotel
Layali Aley - ليالي عاليه
Takht-e-Jamshid
Al Manchab
Chikey's
Tolaitola
Angelina
COYA
Symphony - Golden Tulip Al Souq
Rose of Persia
Khaleej Adan
Burak Istanbul Restaurant
Steak Town
Inmas Restaurant
